edge.fromid,edge.toid,edge.distance
921,897,5.283103340417682
662,798,471.8721818283356
766,215,606.8118214734562
143,845,364.27703646962465
678,279,448.2334854765166
122,610,200.17750580849088
547,611,635.3534187292461
621,231,476.795851622045
370,172,282.1409218750849
697,253,470.8036260013197
908,930,1855.4055360102852
190,521,382.30066779779276
670,766,349.984553208105
542,634,544.9445067813749
500,746,442.9683412094359
230,551,200.130305985255
696,700,259.98645334439254
401,330,240.98991004087523
494,52,444.99574139558956
416,489,204.0000001767263
388,945,1323.8871291977453
218,346,384.05914728740066
743,243,206.91559498264186
788,293,374.1769388178965
30,831,476.77814266691746
695,221,552.705667185027
534,600,1043.1299544623453
503,504,222.3728916710769
411,27,525.9279823244879
193,425,439.00000028265333
251,461,472.00000038217235
495,835,659.7442797673826
516,372,13.104454069653562
915,943,510.19872480481763
46,19,550.098860182501
458,668,214.50576149221615
457,6,517.4586122346108
629,783,504.77557660594346
809,661,327.8761147901223
605,695,494.28169668697967
739,37,373.84262476519916
489,615,270.2362885332202
550,574,501.81250296318865
343,327,455.1558536271587
931,881,3353.5945618636233
43,230,400.9670485578189
519,209,739.7214560190496
952,888,445.10460672184377
610,744,704.0683519129639
92,133,325.49004552486065
828,603,520.2043106988218
467,295,275.57341688056516
48,159,339.59087616642347
407,477,173.9799196984016
729,804,513.3447058492552
367,151,295.4695737661549
539,720,579.6947430903112
490,157,599.9998488621118
482,638,394.8146570501403
922,917,1162.6036006482038
734,472,398.66395742800364
895,931,680.8665702323237
587,680,350.87537046060925
824,60,21.000000020396165
630,434,539.4622872992065
465,240,600.2685843315434
319,441,444.9807339084691
506,629,299.98686336473384
379,50,595.6479935823197
961,557,155.13537066824483
673,289,598.2611008438271
159,16,367.8762974230961
897,921,5.283103340417682
414,214,289.5005463952326
601,642,360.00000032554016
353,502,192.15938598683874
459,736,283.1957580032922
531,467,471.99305013458337
845,847,498.10309803281217
937,907,6.556041602969677
130,600,444.49276311752703
959,373,396.01929455497515
206,732,403.5550228007902
698,959,140.60895024442613
264,660,379.2217399393198
143,754,703.6922830798187
234,95,315.85344957706525
95,134,266.00000017145936
546,405,461.26504984468295
832,520,297.84773620078187
808,210,171.85630024245475
426,719,396.5160241658215
472,353,282.9256778801653
699,702,363.88035524885765
496,757,169.92514268839926
545,169,149.61916979536025
855,265,285.41143131979123
982,545,333.7424972244328
31,573,249.59268821674846
382,535,399.9647318008521
897,935,2009.266110121828
209,149,290.41110264201967
613,722,520.0928726122565
492,347,350.73482593008885
119,286,438.12703053693474
831,797,256.0101792319822
405,192,431.7193993270078
958,28,2.65574683323692
325,48,334.8608577342492
914,944,2.2782851051788557
669,260,499.99203539617736
639,251,418.62716921384106
333,789,449.4018251798967
201,123,269.00000017424964
548,673,461.108586038544
98,487,241.99138402664113
299,788,336.2467389405019
52,920,505.35686465391217
811,446,523.0693859405643
935,897,2009.266110121828
333,964,257.92718488157624
276,753,417.90507523510774
972,501,67.93955309435944
92,84,557.2080321594292
745,272,520.1832211759066
486,812,503.9839349190545
219,236,585.166732659943
598,164,411.52614522533105
635,311,348.6389759917234
364,226,591.5138749224117
805,70,742.7356377347555
728,455,496.95665799157774
242,696,365.5877712812246
236,304,503.70680350920765
524,663,437.6647117892995
89,75,400.16376633791486
412,737,364.1669110059058
558,564,201.97112298727913
192,426,471.12280380135496
917,923,1870.011429162551
943,870,4486.664645680558
559,118,320.0000002820965
625,334,32.20506038349282
628,491,371.63227948630947
222,555,520.9993357833844
838,319,539.063531852139
659,554,376.31630111228753
848,870,3986.7794176724774
551,306,148.94978622504334
54,165,314.19544936310615
738,543,172.92763436759128
357,453,298.96993052283693
502,718,559.0309996541761
833,667,600.0000005279186
423,657,297.9697820176211
515,581,169.91071094096668
964,349,508.840740178255
976,97,59.73622098834515
413,813,210.10625214418235
42,801,442.97370837894005
263,34,269.92927340270165
413,302,290.13333744858136
214,248,356.4718125536564
380,524,579.9429704845409
647,519,549.5532598751652
198,562,320.0564078001656
285,728,464.1841266932278
386,198,600.7926638606375
395,254,522.1129658295695
456,743,555.5111718351101
528,539,444.7275389082528
287,729,304.21142022182926
904,935,0.8040368225216044
473,264,430.644006090298
963,436,109.51179976459466
430,124,299.6867843623539
671,276,168.9996817921705
846,869,704.6911679755626
63,405,482.881021084968
794,444,313.40423855141813
946,908,895.6469654422099
951,895,1149.3541808960088
551,971,122.78019082564795
570,406,673.6238887237411
715,534,350.91073767624783
396,212,745.310003249812
64,976,233.26377923112537
315,113,558.999764742119
50,442,380.96478902168866
107,71,438.5483585536919
227,595,344.46655264117226
775,155,278.79633324613496
20,348,357.00000025826256
651,495,526.4999053362225
594,552,235.14794421857104
782,639,378.78007410849045
317,500,613.509642217096
905,956,4366.652302743568
217,99,453.99770697940465
767,787,458.9777280624272
399,278,334.9719934374221
149,687,444.04840207383313
718,715,399.3901499624261
751,635,338.2495579630309
797,568,649.8318866402702
447,622,229.0098748573859
967,545,201.14497679017208
802,22,579.9998720177732
238,481,504.919852898195
330,205,284.7735088307259
713,626,439.12583215349963
96,704,263.20808613340904
829,294,451.806278421693
643,978,214.24632131412218
324,59,211.97958664725888
603,73,521.8977660539061
314,363,170.99998936961816
66,643,414.14888446525015
132,838,256.9733637036035
893,880,3785.053526300022
950,941,752.278857252068
660,471,432.96440840744094
626,528,284.59681152997615
652,717,233.43117590409008
672,203,162.35374659151233
268,482,255.29527350464934
438,145,510.8458406757392
71,232,259.99866337841524
258,755,569.2871548093012
275,211,257.52545528554464
60,464,327.6556397949893
74,607,171.99612721303342
755,492,329.9998317545352
45,439,650.5703364952041
415,458,689.9917342648627
389,74,170.9985594730037
306,582,114.00000010292563
178,15,391.99647773385334
527,767,434.9648344358782
965,885,933.6815543919308
151,85,504.12393912291554
954,790,192.53798501416173
813,885,1014.2364975187589
606,560,230.11858701852913
256,782,426.42678354128464
233,741,267.22475274697894
778,407,203.96324548805222
714,121,590.5911054018691
881,906,26.918532753060564
837,506,451.1905893807584
723,399,649.026479413867
825,513,252.8406362291595
356,404,361.7888642970484
543,268,453.88140692371076
279,833,599.8054232208747
265,307,520.2718624023561
744,331,536.9998040052158
434,575,406.1132712529671
609,593,171.00000011643368
290,818,344.24482781817943
904,952,2374.4015165878154
593,427,171.00000007337215
597,496,169.85491149040138
19,548,400.7793481571059
930,905,1162.6482168591328
239,69,581.4811426663682
675,733,301.8433425584383
657,449,865.5773582748402
228,630,250.00000016503938
975,594,396.3504851304686
293,13,517.6127425451878
529,315,558.9585921770015
289,508,299.8200864512902
91,107,261.78176862513135
735,699,293.1115423380745
145,474,529.9970359867195
705,428,171.9295262578284
945,929,13.70660311875224
444,420,431.47917814426955
562,61,495.3236933017914
540,697,451.2512464499222
223,224,349.997910301958
611,119,480.37343893706276
795,658,399.70774242087043
759,515,170.84700181461199
240,735,402.7360504677027
280,234,297.9988661203997
658,183,422.6136664504245
637,127,173.25432881467714
741,594,391.07179825371395
882,922,5138.331172616115
868,885,951.4085405864502
61,572,296.49730183409883
248,259,224.356160363349
429,117,303.5328239625151
663,46,280.57586965953567
